run_id,conv_dropout,dense_dropout,l1_reg,l2_reg,train_accuracy,val_accuracy,fit_time_sec
1,0.1,0.3,0.0,0.0,0.9670740962028503,0.92166668176651,78.6388349533081
2,0.1,0.3,0.0,0.0,0.9769074320793152,0.9265000224113464,78.03902387619019
3,0.1,0.3,0.0,0.0,0.9745925664901733,0.9265000224113464,77.32385301589966
1,0.1,0.3,0.001,0.0,0.8325926065444946,0.8678333163261414,78.4635169506073
2,0.1,0.3,0.001,0.0,0.830740749835968,0.8646666407585144,78.1718738079071
3,0.1,0.3,0.001,0.0,0.8210926055908203,0.8473333120346069,78.79494524002075
1,0.1,0.3,0.0,0.001,0.8885555267333984,0.9001666903495789,78.59153890609741
2,0.1,0.3,0.0,0.001,0.8841666579246521,0.8939999938011169,80.57551193237305
3,0.1,0.3,0.0,0.001,0.8847222328186035,0.8966666460037231,78.20131540298462
1,0.1,0.5,0.0,0.0,0.9680185317993164,0.9269999861717224,78.9135160446167
2,0.1,0.5,0.0,0.0,0.9643703699111938,0.9233333468437195,79.13902974128723
3,0.1,0.5,0.0,0.0,0.9671111106872559,0.9246666431427002,77.38429260253906
1,0.1,0.5,0.001,0.0,0.8007222414016724,0.8391666412353516,80.51804947853088
2,0.1,0.5,0.001,0.0,0.7934444546699524,0.8379999995231628,78.07690525054932
3,0.1,0.5,0.001,0.0,0.8093147873878479,0.8521666526794434,78.35605001449585
1,0.1,0.5,0.0,0.001,0.8799999952316284,0.8961666822433472,77.97428750991821
2,0.1,0.5,0.0,0.001,0.8811110854148865,0.8946666717529297,77.87109017372131
3,0.1,0.5,0.0,0.001,0.8762778043746948,0.8924999833106995,77.90145611763
1,0.1,0.7,0.0,0.0,0.9342036843299866,0.9236666560173035,77.9599826335907
2,0.1,0.7,0.0,0.0,0.9341111183166504,0.9194999933242798,78.07919526100159
3,0.1,0.7,0.0,0.0,0.9334999918937683,0.9254999756813049,78.11264872550964
1,0.1,0.7,0.001,0.0,0.782870352268219,0.8450000286102295,78.13834118843079
2,0.1,0.7,0.001,0.0,0.7808703780174255,0.8371666669845581,78.58505868911743
3,0.1,0.7,0.001,0.0,0.7830185294151306,0.840666651725769,78.57071447372437
1,0.1,0.7,0.0,0.001,0.8639259338378906,0.8934999704360962,78.14167881011963
2,0.1,0.7,0.0,0.001,0.8597777485847473,0.8901666402816772,78.14226222038269
3,0.1,0.7,0.0,0.001,0.8643147945404053,0.8983333110809326,78.19761919975281
1,0.25,0.3,0.0,0.0,0.967462956905365,0.9273333549499512,78.13241577148438
2,0.25,0.3,0.0,0.0,0.9697036743164062,0.9265000224113464,77.9694173336029
3,0.25,0.3,0.0,0.0,0.9642592668533325,0.9253333210945129,77.65561294555664
1,0.25,0.3,0.001,0.0,0.8173148036003113,0.8585000038146973,78.7212073802948
2,0.25,0.3,0.001,0.0,0.8069629669189453,0.8445000052452087,78.4018783569336
3,0.25,0.3,0.001,0.0,0.8241481184959412,0.8678333163261414,80.27657842636108
1,0.25,0.3,0.0,0.001,0.887333333492279,0.9011666774749756,78.09883046150208
2,0.25,0.3,0.0,0.001,0.8811110854148865,0.8963333368301392,78.18750047683716
3,0.25,0.3,0.0,0.001,0.882777750492096,0.8995000123977661,78.69296908378601
1,0.25,0.5,0.0,0.0,0.9490740895271301,0.9259999990463257,77.85959100723267
2,0.25,0.5,0.0,0.0,0.9483888745307922,0.9259999990463257,78.96635603904724
3,0.25,0.5,0.0,0.0,0.9547407627105713,0.9279999732971191,79.02342915534973
1,0.25,0.5,0.001,0.0,0.8002222180366516,0.8508333563804626,80.16437530517578
2,0.25,0.5,0.001,0.0,0.7858889102935791,0.8371666669845581,79.49293303489685
3,0.25,0.5,0.001,0.0,0.7969444394111633,0.846833348274231,79.52281212806702
1,0.25,0.5,0.0,0.001,0.8727962970733643,0.8991666436195374,79.92489528656006
2,0.25,0.5,0.0,0.001,0.8769814968109131,0.8953333497047424,81.79985404014587
3,0.25,0.5,0.0,0.001,0.8727592825889587,0.8958333134651184,79.88159537315369
1,0.25,0.7,0.0,0.0,0.9286296367645264,0.924833357334137,78.91030955314636
2,0.25,0.7,0.0,0.0,0.9211111068725586,0.9240000247955322,77.69100594520569
3,0.25,0.7,0.0,0.0,0.9278518557548523,0.922166645526886,78.35928177833557
1,0.25,0.7,0.001,0.0,0.7337407469749451,0.8118333220481873,81.77994275093079
2,0.25,0.7,0.001,0.0,0.7695925831794739,0.8383333086967468,80.32713627815247
3,0.25,0.7,0.001,0.0,0.756851851940155,0.8295000195503235,82.32570457458496
1,0.25,0.7,0.0,0.001,0.8599073886871338,0.8963333368301392,79.47020363807678
2,0.25,0.7,0.0,0.001,0.8641852140426636,0.8985000252723694,81.3004732131958
3,0.25,0.7,0.0,0.001,0.8588518500328064,0.8896666765213013,79.2965042591095
1,0.4,0.3,0.0,0.0,0.9579444527626038,0.9254999756813049,77.83293962478638
2,0.4,0.3,0.0,0.0,0.9625555276870728,0.9256666898727417,77.84318017959595
3,0.4,0.3,0.0,0.0,0.9578148126602173,0.9259999990463257,84.29902839660645
1,0.4,0.3,0.001,0.0,0.7991851568222046,0.8535000085830688,78.92991328239441
2,0.4,0.3,0.001,0.0,0.7932962775230408,0.8388333320617676,79.47968530654907
3,0.4,0.3,0.001,0.0,0.7800370454788208,0.8335000276565552,81.65578389167786
1,0.4,0.3,0.0,0.001,0.8734814524650574,0.8948333263397217,78.9668960571289
2,0.4,0.3,0.0,0.001,0.8720370531082153,0.893833339214325,85.02840781211853
3,0.4,0.3,0.0,0.001,0.873796284198761,0.8948333263397217,81.7273108959198
1,0.4,0.5,0.0,0.0,0.9437037110328674,0.9275000095367432,78.39119839668274
2,0.4,0.5,0.0,0.0,0.9488333463668823,0.9259999990463257,78.25081086158752
3,0.4,0.5,0.0,0.0,0.9366852045059204,0.9259999990463257,79.07273149490356
1,0.4,0.5,0.001,0.0,0.7819629907608032,0.8423333168029785,78.93504452705383
2,0.4,0.5,0.001,0.0,0.7818148136138916,0.8424999713897705,80.81888198852539
3,0.4,0.5,0.001,0.0,0.7723333239555359,0.8309999704360962,81.81276249885559
1,0.4,0.5,0.0,0.001,0.87029629945755,0.8971666693687439,79.72300744056702
2,0.4,0.5,0.0,0.001,0.8727222084999084,0.8963333368301392,80.24166464805603
3,0.4,0.5,0.0,0.001,0.8703518509864807,0.8941666483879089,83.01241397857666
1,0.4,0.7,0.0,0.0,0.9122777581214905,0.9208333492279053,82.42638230323792
2,0.4,0.7,0.0,0.0,0.929444432258606,0.9266666769981384,80.5822012424469
3,0.4,0.7,0.0,0.0,0.9189629554748535,0.9229999780654907,80.15273070335388
1,0.4,0.7,0.001,0.0,0.7572036981582642,0.8299999833106995,79.49237155914307
2,0.4,0.7,0.001,0.0,0.7494259476661682,0.8263333439826965,79.12804675102234
3,0.4,0.7,0.001,0.0,0.7337592840194702,0.8153333067893982,79.4455099105835
1,0.4,0.7,0.0,0.001,0.8605740666389465,0.8960000276565552,79.23395538330078
2,0.4,0.7,0.0,0.001,0.8602036833763123,0.8945000171661377,79.71689939498901
3,0.4,0.7,0.0,0.001,0.8583703637123108,0.8931666612625122,80.90187740325928
